output_folder,train_epochs,avg_time,min_time,max_time
output_files/20201110_9CE4FA2E_CF8E_4FCF_A3C2_D4ADE4B537B7,2,26.086718559265137,12.10252594947815,40.070911169052124
output_files/20201211_6AF72916_0A52_431D_98BB_5DAEBA5267FC,2,42.104230523109436,35.438618183135986,48.769842863082886
output_files/20201211_704D708C_EBFA_4CC8_A5B0_D4A1253C7E35,2,45.57974135875702,38.98970174789429,52.16978096961975
output_files/20201212_D90B5A21_DB81_4942_9E32_9A38FE297541,2,41.28908061981201,34.1204731464386,48.457688093185425
output_files/20201212_AED453B8_A230_499B_A484_BEB46DF74E36,2,42.237804532051086,35.79621195793152,48.679397106170654
output_files/20201212_C7F59C69_B54D_47E0_BEE3_DB58C39A9AFC,2,42.306179881095886,36.04461169242859,48.567748069763184
output_files/20210309_7CCBFB63_7E73_482B_BFB2_D497246B77B3,2,41.033825039863586,33.95352005958557,48.1141300201416
output_files/20210310_A89C63AD_8DB3_4D9F_9DE7_B58D3AFB1890,2,42.67425000667572,33.956417083740234,51.392082929611206
output_files/20210310_54BDF8DC_4E68_4FE0_A4BD_081CD7C23846,2,46.38508093357086,35.64784479141235,57.12231707572937
output_files/20210310_5D8E759B_DA0D_4D67_A83E_6AE3C978B0DE,2,42.996721506118774,35.54086089134216,50.452582120895386
